individual_id	idx	hair	cheek	blood
m137	0	0.3653831048871538	0.2637	0.05204
m137	1	0.054480941517556794	0.2637	0.05204
m137	2	0.07680415273750231	0.2637	0.05204
m137	3	0.11802775015098045	0.2637	0.05204
m137	4	0.09478029726908811	0.2637	0.05204
m137	5	0.24308837761395913	0.2637	0.05204
m137	6	0.024969628406393468	0.2637	0.05204
m137	7	0.1475400915337237	0.2637	0.05204
m137c1	0	0.04756976450134027	0.18747495	0.052486821
m137c1	1	0.05486844509638738	0.18747495	0.052486821
m137c1	2	0.27422173380337306	0.18747495	0.052486821
m137c1	3	0.12360428121972963	0.18747495	0.052486821
m137c1	4	0.0	0.18747495	0.052486821
m163c1	0	0.11481951332760071	0.44	0.44033
m163c1	1	0.23921048273216863	0.44	0.44033
m163c1	2	0.44328404697997004	0.44	0.44033
m163c1	3	0.2892038215001996	0.44	0.44033
m163c1	4	0.2785893780597053	0.44	0.44033
m163c1	5	0.7819280525994233	0.44	0.44033
m163c1	6	0.26821016491813904	0.44	0.44033
m163c1	7	0.4403714221625465	0.44	0.44033
m164g	0	0.7056469176090178	0.59278	0.40722
m164g	1	0.26676500415781035	0.59278	0.40722
m164g	2	0.369992437854313	0.59278	0.40722
m164g	3	0.8169122823924377	0.59278	0.40722
m166	0	0.0	0.05387	0.05926
m166	1	0.22699697899220422	0.05387	0.05926
m166	2	0.12351605959727265	0.05387	0.05926
m166	3	0.04638049225738554	0.05387	0.05926
m166	4	0.012482358379468258	0.05387	0.05926
m166	5	0.08842864463379282	0.05387	0.05926
m166	6	0.189739986258933	0.05387	0.05926
m166	7	0.016411442941172905	0.05387	0.05926
m166	8	0.08861271462663202	0.05387	0.05926
m166	9	0.0	0.05387	0.05926
m166	10	0.034309869025960296	0.05387	0.05926
m166	11	0.041684219574164245	0.05387	0.05926
m166	12	0.11398555805079054	0.05387	0.05926
m166	13	0.05246486793356845	0.05387	0.05926
m166c5	0	0.21990937338912017	0.21515	0.19474
m166c5	1	0.2749035640353233	0.21515	0.19474
m166c5	2	0.2915253352273355	0.21515	0.19474
m166c5	3	0.27792019805965484	0.21515	0.19474
m166c5	4	0.01347556912135407	0.21515	0.19474
m166c5	5	0.025627894482964667	0.21515	0.19474
m166c5	6	0.0	0.21515	0.19474
m166c5	7	0.4860036423802324	0.21515	0.19474
m183	0	0.09986622214092614	0.2323	0.23932
m183	1	0.36388022759338773	0.2323	0.23932
m186c1	0	0.0	0.05414	0.05747
m186c1	1	0.06473044413282009	0.05414	0.05747
m186c1	2	0.013793041590256879	0.05414	0.05747
m186c1	3	0.18158615012086865	0.05414	0.05747
m186c1	4	0.012352526297017852	0.05414	0.05747
m186c1	5	0.0	0.05414	0.05747
m186c1	6	0.0	0.05414	0.05747
m186c1	7	0.12482668975785151	0.05414	0.05747
m188	0	0.191599771008135	0.12621	0.13648
m188	1	0.1372872180689063	0.12621	0.13648
m188	2	0.10541199650558335	0.12621	0.13648
m188	3	0.06963424871669312	0.12621	0.13648
m188	4	0.08764661179087173	0.12621	0.13648
m188	5	0.036078369089675426	0.12621	0.13648
m188	6	0.09577496816636574	0.12621	0.13648
m188	7	0.10984548255772544	0.12621	0.13648
m188	8	0.2053269974641376	0.12621	0.13648
m188	9	0.3995712560282594	0.12621	0.13648
m188	10	0.11389978134936721	0.12621	0.13648
m188	11	0.225161649307107	0.12621	0.13648
m188	12	0.07339330961728029	0.12621	0.13648
m188	13	0.24345129184298814	0.12621	0.13648
m188	14	0.03434511124485095	0.12621	0.13648
m188	15	0.10224380303322533	0.12621	0.13648
